Town,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue
Pembroke,Supermarket,English Restaurant,Warehouse Store
Pembroke Dock,Supermarket,Pub,Grocery Store
Pencoed,Grocery Store,Hotel,Golf Course
Penmaenmawr,Convenience Store,Beer Garden,Café
Pentyrch,Pub,Coffee Shop,Train Station
Penyffordd,Discount Store,Pub,Supermarket
Pontarddulais,Gastropub,Park,Cricket Ground
Pontycymer,Grocery Store,Gym,Business Service
Porthcawl,Beach,Café,Fish & Chips Shop
Porthmadog,Hotel,Café,Pub
Pwllheli,Pub,Discount Store,Supermarket
Pyle,Seafood Restaurant,Pub,Surf Spot
Radyr,Pub,Grocery Store,Coffee Shop
Resolven,Home Service,Pub,Convenience Store
Rhoose,Hotel,Pub,Gastropub
Rhuddlan,Supermarket,Hotel,Electronics Store
Rhymney,Train Station,Grocery Store,Convenience Store
Risca,Supermarket,Fast Food Restaurant,Forest
Ruthin,Discount Store,Pub,Grocery Store
Saundersfoot,Pub,Beach,Train Station
Seven Sisters,Construction & Landscaping,Campground,Zoo
Southgate,Pub,Bar,Coffee Shop
Splott,Coffee Shop,Café,Pub
St Asaph,Restaurant,Pub,Fried Chicken Joint
St Clears,Coffee Shop,Bed & Breakfast,Hotel
Talbot Green,Clothing Store,Pub,Hotel
Tanyfron,Supermarket,Grocery Store,Athletics & Sports
Tenby,Beach,Café,Pub
Tonyrefail,Grocery Store,Gym Pool,Thai Restaurant
Tredegar,Supermarket,Pub,Fast Food Restaurant
Treharris,Grocery Store,Gym / Fitness Center,Hotel
Tywyn,Train Station,Pub,Grocery Store
Undy,Pub,Soccer Field,Nature Preserve
Usk,Hotel,Gas Station,Garden Center
Valley,Beach,Hotel,Nature Preserve
Welshpool,Supermarket,Department Store,Harbor / Marina
Y Felinheli,Hotel,Brewery,Boat or Ferry
Ynysybwl,Pharmacy,Pub,Gym / Fitness Center
Ystrad Mynach,Supermarket,Breakfast Spot,Park
