School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes
6602160.0,Ysgol Pencarnisiog,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pencarnisiog,Ty Croes,Ynys Môn,,LL63 5RY,01407 810622,72.0
6602161.0,Ysgol Gymuned Pentraeth,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pentraeth,Ynys Môn,,,LL75 8UP,01248 450315,118.0
6602162.0,Ysgol Penysarn,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penysarn,Ynys Môn,,,LL69 9AZ,01407 830678,87.0
6602163.0,Ysgol Santes Gwenfaen,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhoscolyn,Caergybi,Ynys Môn,,LL65 2DX,01407 860264,99.0
6602164.0,Ysgol Gynradd Rhosneigr,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhosneigr,Ynys Môn,,,LL64 5XA,01407 810571,79.0
6602165.0,Ysgol Gynradd Rhosybol,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Rhosybol,Amlwch,Ynys Môn,,LL68 9PP,01407 830484,75.0
6602166.0,Ysgol Gynradd Talwrn,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Talwrn,Llangefni,Ynys Môn,,LL77 7TG,01248 723363,40.0
6602168.0,Ysgol Gymuned y Fali,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Y Fali,Ynys Môn,,,LL65 3EU,01407 740518,91.0
6602169.0,Ysgol Llanfawr,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergybi,Ynys Môn,,,LL65 2DS,01407 762552,324.0
6602170.0,Ysgol Goronwy Owen,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Benllech,Ynys Môn,,,LL74 8SG,01248 852667,134.0
6602173.0,Ysgol Gynradd Y Tywyn,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergeiliog,Ynys Môn,,,LL65 3LW,01407 740781,112.0
6602174.0,Ysgol Gynradd Llandegfan,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llandegfan,Porthaethwy,Ynys Môn,,LL59 5UW,01248 713431,166.0
6602175.0,Ysgol Gynradd Y Borth,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Porthaethwy,Ynys Môn,,,LL59 5DS,01248 713000,255.0
6602176.0,Ysgol Gynradd Kingsland,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergybi,Ynys Môn,,,LL65 2TH,01407 763295,187.0
6602177.0,Ysgol Gymraeg Morswyn,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergybi,Ynys Môn,,,LL65 2PU,01407 762233,176.0
6602226.0,Ysgol Gynradd Corn Hir,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llangefni,Ynys Môn,,,LL77 7JB,01248 722558,230.0
6602227.0,Ysgol Rhyd y Llan,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanfaethlu,Caergybi,Ynys Môn,,LL65 4PQ,,150.0
6602228.0,Ysgol Gynradd Parc Y Bont,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanddaniel Fab,,,Ynys Môn,LL60 6ES,01248 422350,123.0
6603036.0,Ysgol Cybi,660.0,Isle of Anglesey,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Ffordd Garreglwyd,,,CAERGYBI,LL65 1NS,01407 883150,448.0
6603037.0,Ysgol Santes Dwynwen,660.0,Isle of Anglesey,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Niwbwrch,,,Ynys Môn,LL61 6TE,,142.0
6603304.0,Ysgol Santes Fair,660.0,Isle of Anglesey,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Longford Road,Holyhead,Anglesey,,LL65 1TR,01407 763176,162.0
6604025.0,Ysgol Syr Thomas Jones,660.0,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Pentrefelin,Amlwch,Ynys Mon,,LL68 9TH,01407 830287,507.0
6604026.0,Ysgol Uwchradd Caergybi,660.0,Isle of Anglesey,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Caergybi,Ynys Môn,,,LL65 1NP,01407 762219,816.0
6604027.0,Ysgol Gyfun Llangefni,660.0,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Llangefni,Ynys Môn,,,LL77 7NG,01248 723441,654.0
6604028.0,Ysgol David Hughes,660.0,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Ffordd Pentraeth,Porthaethwy,Ynys Môn,,LL59 5SS,01248 712287,1068.0
6604029.0,Ysgol Uwchradd Bodedern,660.0,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Bro Alaw,Bodedern,Caergybi,Ynys Môn,LL65 3TL,01407 741000,703.0
6605200.0,Ysgol Caergeiliog,660.0,Isle of Anglesey,Primary,Foundation,DS,Dual Stream,"Nursery, Infants & Juniors",---,Caergeiliog,Caergybi,Ynys Môn,,LL65 3NP,01407 740619,419.0
6607011.0,Canolfan Addysg Y Bont,660.0,Isle of Anglesey,Special,Not Applicable,NA,Not applicable,Special (with post-16 provision),---,Ffordd Cildwrn,Llangefni,Ynys Mon,,LL77 7PG,01248 750151,102.0
6612000.0,Ysgol Gwaun Gyfni,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Deiniolen,Gwynedd,,,LL55 3LT,01286 870687,151.0
6612004.0,Ysgol Gynradd Nefyn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Dewi Sant,Nefyn,Pwllheli,Gwynedd,LL53 6EA,01758 720765,147.0
6612006.0,Ysgol Llanrug,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 4AL,01286 674905,272.0
6612008.0,Ysgol Gynradd Abererch,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Abererch,Pwllheli,Gwynedd,,LL53 6YU,01758 613441,83.0
6612009.0,Ysgol Abersoch,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pwllheli,Gwynedd,,,LL53 7EA,01758 712764,9.0
6612010.0,Ysgol Beddgelert,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Beddgelert,Gwynedd,,,LL55 4UY,01766 890307,25.0
6612011.0,Ysgol Bethel,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 1AX,01248 670663,144.0
6612013.0,Ysgol Bodfeurig,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tregarth,Gwynedd,,,LL57 4RN,01248 600760,65.0
6612015.0,Ysgol Gynradd Borth-Y-Gest,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Porthmadog,Gwynedd,,,LL49 9UF,01766 513285,47.0
6612017.0,Ysgol Brynaerau,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pontllyfni,Caernarfon,Gwynedd,,LL54 5EU,01286 660428,61.0
6612026.0,Ysgol Y Gelli,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Bethel,Caernarfon,Gwynedd,,LL55 1DU,01286 674847,235.0
6612028.0,Ysgol Penybryn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,Juniors,---,Bethesda,Gwynedd,,,LL57 3BE,01248 600375,130.0
6612033.0,Ysgol Treferthyr,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Criccieth,Gwynedd,,,LL52 0DS,01766 522300,115.0
6612036.0,Ysgol Gynradd Chwilog,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Chwilog,Pwllheli,Gwynedd,,LL53 6PS,01766 810627,49.0
6612039.0,Ysgol Crud-Y-Werin,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Aberdaron,Pwllheli,Gwynedd,,LL53 8BP,01758 760205,64.0
6612042.0,Ysgol Dolbadarn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanberis,Gwynedd,,,LL55 4SH,01286 870711,184.0
6612046.0,Ysgol Gynradd Edern,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd y Rhos,Edern,Pwllheli,Gwynedd,LL53 8YW,01758 720272,77.0
6612047.0,Ysgol Felinwnda,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanwnda,Caernarfon,Gwynedd,,LL54 5UG,01286 830017,21.0
6612048.0,Ysgol Bro Plenydd,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Y Ffor,Pwllheli,Gwynedd,,LL53 6UP,01766 810625,75.0
6612049.0,Ysgol Gynradd Garndolbenmaen,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Garndolbenmaen,Gwynedd,,,LL51 9SZ,01766 530626,45.0
6612060.0,Ysgol Gynradd Llanbedrog,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanbedrog,Pwllheli,Gwynedd,,LL53 7NU,01758 740631,95.0
6612066.0,Ysgol Gynradd Llangybi,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llangybi,Pwllheli,Gwynedd,,LL53 6DQ,01766 810564,34.0
6612069.0,Ysgol Llanllechid,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanllechid,Bangor,Gwynedd,,LL57 3EH,01248 600600,274.0
6612070.0,Ysgol Gynradd Llanllyfni,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanllyfni,Caernarfon,Gwynedd,,LL54 6SH,01286 880729,83.0
6612075.0,Ysgol Babanod Morfa Nefyn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Morfa Nefyn,Pwllheli,Gwynedd,,LL53 6AR,01758 720870,42.0
6612078.0,Ysgol Baladeulyn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Nantlle,Caernarfon,Gwynedd,,LL54 6BT,01286 880884,24.0
6612081.0,Ysgol Gynradd Nebo,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Nebo,Caernarfon,Gwynedd,,LL54 6EE,01286 881273,18.0
6612085.0,Ysgol Gymuned Penisarwaun,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penisarwaen,Caernarfon,Gwynedd,,LL55 3BW,01286 870879,57.0
6612089.0,Ysgol Bro Lleu,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penygroes,Caernarfon,Gwynedd,,LL54 6RL,01286 880883,199.0
6612093.0,Ysgol Gynradd Pentreuchaf,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pentreuchaf,Pwllheli,Gwynedd,,LL53 8DZ,01758 750600,98.0
6612097.0,Ysgol Rhiwlas,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhiwlas,Bangor,Gwynedd,,LL57 4EH,01248 352483,39.0
6612098.0,Ysgol Gynradd Rhosgadfan,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhosgadfan,Caernarfon,Gwynedd,,LL54 7EU,01286 830160,40.0
6612099.0,Ysgol Gynradd Rhostryfan,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhostryfan,Caernarfon,Gwynedd,,LL54 7LR,01286 830727,90.0
6612103.0,Ysgol Sarn Bach,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Sarn Bach,Pwllheli,Gwynedd,,LL53 7LF,01758 712714,48.0
6612104.0,Ysgol Eifion Wyn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Porthmadog,Gwynedd,,,LL49 9NU,01766 513286,203.0
6612108.0,Ysgol Gynradd Talysarn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,COED MADOG,TALYSARN,Gwynedd,,LL54 6HR,01286 880885,101.0
6612110.0,Ysgol Y Gorlan,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tremadog,Porthmadog,Gwynedd,,LL49 9RN,01766 512773,119.0
6612111.0,Ysgol Yr Eifl,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Trefor,Caernarfon,Gwynedd,,LL54 5LU,01286 660523,55.0
6612112.0,Ysgol Gynradd Tudweiliog,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tudweiliog,Pwllheli,Gwynedd,,LL53 8ND,01758 770669,55.0
6612113.0,Ysgol Waunfawr,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Waunfawr,Caernarfon,Gwynedd,,LL55 4LJ,01286 650451,132.0
6612116.0,Ysgol Glancegin,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Maesgeirchen,Bangor,Gwynedd,,LL57 1ST,01248 353097,249.0
6612119.0,Ysgol Yr Hendre,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 2AT,01286 674332,401.0
6612122.0,Ysgol Bontnewydd,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bontnewydd,Caernarfon,Gwynedd,,LL55 2UF,01286 673880,197.0
6612123.0,Ysgol Gymraeg Y Garnedd,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Penrhos,Bangor,Gwynedd,,LL57 2LX,01248 352534,326.0
6612125.0,Ysgol Cymerau,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Mela,Pwllheli,Gwynedd,,LL53 5AR,01758 612001,330.0
6612126.0,Ysgol Abercaseg (Babanod),661.0,Gwynedd,Primary,Community,WM,Welsh medium,Nursery & Infants,---,Bethesda,Bangor,Gwynedd,,LL57 3PL,01248 600194,123.0
6612127.0,Ysgol Y Felinheli,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Felinheli,Gwynedd,,,LL56 4TZ,01248 670748,192.0
6612181.0,Ysgol y Traeth,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Abermaw,Gwynedd,,,LL42 1HH,01341 280479,219.0
6612185.0,Ysgol Gynradd Dyffryn Dulas,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Corris,Machynlleth,Powys,,SY20 9TQ,01654 761622,54.0
6612189.0,Ysgol Gynradd Dyffryn Ardudwy,661.0,Gwynedd,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Dyffryn Ardudwy,Gwynedd,,,LL44 2EP,01341 247294,92.0
6612190.0,Ysgol Bro Cynfal,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffestiniog,Blaenau Ffestiniog,Gwynedd,,LL41 4NF,01766 762668,63.0
6612192.0,Ysgol Edmwnd Prys,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Gellilydan,Blaenau Ffestiniog,Gwynedd,,LL41 4DY,01766 590348,32.0
6612194.0,Ysgol Gynradd Llanbedr,661.0,Gwynedd,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llanbedr,Gwynedd,,,LL45 2NW,01341 241422,52.0
6612198.0,Ysgol Y Garreg,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanfrothen,Penrhyndeudraeth,Gwynedd,,LL48 6LJ,01766 770727,23.0
6612199.0,Ysgol O M Edwards,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanuwchllyn,Bala,Gwynedd,,LL23 7UB,01678 540242,106.0
6612205.0,Ysgol Manod,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaenau Ffestiniog,Gwynedd,,,LL41 4AF,01766 830272,108.0
6612207.0,Ysgol Gynradd Pennal,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pennal,Machynlleth,Gwynedd,,SY20 9JT,01654 791225,23.0
6612208.0,Ysgol Cefn Coch,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penrhyndeudraeth,Gwynedd,,,LL48 6AE,01766 770291,172.0
6612210.0,Ysgol Talsarnau,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Talsarnau,Gwynedd,,,LL47 6TA,01766 770768,45.0
6612211.0,Ysgol Gynradd Tanygrisiau,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaenau Ffestiniog,Gwynedd,,,LL41 3SU,01766 830795,67.0
6612212.0,Ysgol Gynradd Penybryn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Tywyn,Gwynedd,,,LL36 9EF,01654 710237,254.0
6612213.0,Ysgol Bro Hedd Wyn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Trawsfynydd,Blaenau Ffestiniog,Gwynedd,,LL41 4SE,01766 540247,64.0
6612214.0,Ysgol Bro Tryweryn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Frongoch,Bala,Gwynedd,,LL23 7NT,01678 520740,42.0
6612219.0,Ysgol Tanycastell,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Harlech,Gwynedd,,,LL46 2UE,01766 780454,74.0
6612220.0,Ysgol Ffridd Y Llyn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Cefnddwysarn,Bala,Gwynedd,,LL23 7HE,01678 530373,63.0
6612221.0,Ysgol Maenofferen,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaenau Ffestiniog,Gwynedd,,,LL41 3UL,01766 831256,224.0
6612227.0,Ysgol Hirael,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Orme Road,Bangor,Gwynedd,,LL57 1BA,01248 352182,179.0
6612228.0,Ysgol Craig y Deryn,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanegryn,Gwynedd,,,LL36 9SG,01654 710463,116.0
6612229.0,Ysgol Bro Llifon,661.0,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Groeslon,Caernarfon,,,LL54 7DT,01286 830111,167.0
6613004.0,Ysgol Pont Y Gof,661.0,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Botwnnog,Pwllheli,Gwynedd,,LL53 8RA,01758 730318,101.0
6613005.0,Ysgol Gynradd Maesincla,661.0,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Maesincla Caernarfon,Gwynedd,,,LL55 1DF,01286 673787,278.0
6613009.0,Ysgol Y Faenol,661.0,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Penrhosgarnedd,Bangor,Gwynedd,,LL57 2NN,01248 352162,211.0
6613010.0,Ysgol Foel Gron,661.0,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Mynytho,Pwllheli,Gwynedd,,LL53 7RN,01758 740567,44.0
6613013.0,Ysgol Llandygai,661.0,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Llandygai,Bangor,Gwynedd,,LL57 4HU,01248 352163,120.0
6613018.0,Ysgol Gynradd Llandwrog,661.0,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Llandwrog,Caernarfon,Gwynedd,,LL54 5ST,01286 830223,41.0
6613023.0,Ysgol Gynradd Llanystumdwy,661.0,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Llanystumdwy,Criccieth,Gwynedd,,LL52 0SP,01766 522961,22.0
6613029.0,Ysgol Tregarth,661.0,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Tregarth,Bangor,Gwynedd,,LL57 4PG,01248 600735,104.0
6613030.0,Ysgol Cae Top,661.0,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Ffordd Eithinog,Bangor,Gwynedd,,LL57 2GZ,01248 352325,236.0
6613300.0,Ysgol Santes Helen,661.0,Gwynedd,Primary,Voluntary aided,WM,Welsh medium,"Nursery, Infants & Juniors",Roman Catholic,Twtil,Caernarfon,Gwynedd,,LL55 1PF,01286 674856,67.0
6613301.0,Ysgol Ein Harglwyddes,661.0,Gwynedd,Primary,Voluntary aided,EW,English with significant Welsh,"Nursery, Infants & Juniors",Roman Catholic,Caernarfon Road,Bangor,Gwynedd,,LL57 2UT,01248 352463,118.0
6614002.0,Ysgol Dyffryn Ogwen Bethesda,661.0,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Ffordd Coetmor,Bethesda,Gwynedd,,LL57 3NN,01248 600291,462.0
6614003.0,Ysgol Botwnnog,661.0,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-16),---,Botwnnog,Llyn,Gwynedd,,LL53 8PY,01758 730220,445.0
6614004.0,Ysgol Brynrefail,661.0,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Llanrug,Caernarfon,Gwynedd,,LL55 4AD,01286 672381,742.0
