School_code,School_name,Local_authority,Consortium,Rating,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes
6614031,Ysgol Y Moelwyn,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,Ysgol Y Moelwyn,661.0,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-16),---,Heol Wynne,Blaenau Ffestiniog,Gwynedd,,LL41 3DW,01766 830435,316.0
6614032,YSGOL UWCHRADD TYWYN,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,Ysgol Uwchradd Tywyn,661.0,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-16),---,Station Road,Tywyn,Gwynedd,,LL36 9EU,01654 710256,320.0
6614034,Ysgol Ardudwy,Gwynedd / Gwynedd,GwE / GwE,Red/Coch,Ysgol Ardudwy,661.0,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-16),---,Ffordd y Traeth,Harlech,Gwynedd,,LL46 2UH,01766 780331,317.0
6614036,Ysgol Friars,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,Ysgol Friars,661.0,Gwynedd,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Lon y Bryn,Bangor,Gwynedd,,LL57 2LN,01248 364905,1309.0
6614037,Ysgol Tryfan,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,Ysgol Tryfan,661.0,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Lon Powys,Bangor,Gwynedd,,LL57 2TY,01248 352633,424.0
6614039,Ysgol Syr Hugh Owen,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,Ysgol Syr Hugh Owen,661.0,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Bethel Road,Caernarfon,Gwynedd,,LL55 1HW,01286 673076,857.0
6614040,Ysgol Glan y Mor,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,Ysgol Glan Y Mor,661.0,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-16),---,Ffordd Caerdydd,Pwllheli,Gwynedd,,LL53 5NU,01758 701244,485.0
6615500,Bro Idris,Gwynedd / Gwynedd,GwE / GwE,Amber/Oren,Ysgol Bro Idris,661.0,Gwynedd,Middle,Community,AB,Bilingual (Type A),Middle (ages 3-16),---,Dolgellau,,,Gwynedd,LL40 1HY,01341 424949,575.0
6615501,Ysgol Godre'r Berwyn,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,Ysgol Godre'r Berwyn,661.0,Gwynedd,Middle,Community,AB,Bilingual (Type A),Middle (ages 3-19),---,Heol Ffrydan,,,Bala,LL23 7RU,01678 520259,521.0
6624022,Ysgol John Bright,Conwy / Conwy,GwE / GwE,Amber/Oren,Ysgol John Bright,662.0,Conwy,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Maesdu Road,Llandudno,,,LL30 1LF,01492 864200,1229.0
6624023,Ysgol Aberconwy,Conwy / Conwy,GwE / GwE,Yellow/Melyn,Ysgol Aberconwy,662.0,Conwy,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Morfa Drive,Conwy,,,LL32 8ED,01492 593243,794.0
6624035,YSGOL DYFFRYN CONWY,Conwy / Conwy,GwE / GwE,Amber/Oren,Ysgol Dyffryn Conwy,662.0,Conwy,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Nebo Road,Llanrwst,,,LL26 0SD,01492 642800,633.0
6624038,YSGOL Y CREUDDYN,Conwy / Conwy,GwE / GwE,Green/Gwyrdd,Ysgol Y Creuddyn,662.0,Conwy,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Ffordd Dderwen,Bae Penrhyn,Llandudno,,LL30 3LB,01492 544344,584.0
6625400,Ysgol Emrys ap Iwan,Conwy / Conwy,GwE / GwE,Yellow/Melyn,Ysgol Emrys Ap Iwan,662.0,Conwy,Secondary,Foundation,EM,English medium,Secondary (ages 11-19),---,Faenol Avenue,Abergele,Conwy,,LL22 7HE,01745 832287,983.0
6625402,Eirias High School,Conwy / Conwy,GwE / GwE,Yellow/Melyn,Eirias High School,662.0,Conwy,Secondary,Foundation,EM,English medium,Secondary (ages 11-19),---,Eirias Road,Colwyn Bay,,,LL29 7SP,01492 532025,1331.0
6625403,Ysgol Bryn Elian,Conwy / Conwy,GwE / GwE,Amber/Oren,Ysgol Bryn Elian,662.0,Conwy,Secondary,Foundation,EM,English medium,Secondary (ages 11-19),---,Windsor Drive,Colwyn Bay,Conwy,,LL29 8HU,01492 518215,936.0
6634003,Rhyl High School,Denbighshire / Sir Ddinbych,GwE / GwE,Yellow/Melyn,Rhyl High School,663.0,Denbighshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Grange Road,Rhyl,Denbighshire,,LL18 4BY,01745 343533,1115.0
6634014,Prestatyn High School,Denbighshire / Sir Ddinbych,GwE / GwE,Yellow/Melyn,Prestatyn High School,663.0,Denbighshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,2 Princes Avenue,Prestatyn,Denbighshire,,LL19 8RS,01745 852312,1407.0
6634020,Ysgol Uwchradd Glan Clwyd,Denbighshire / Sir Ddinbych,GwE / GwE,Yellow/Melyn,Ysgol Uwchradd Glan Clwyd,663.0,Denbighshire,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Ffordd Dinbych,Llanelwy,Sir Ddinbych,,LL17 0RP,01745 582611,992.0
6634026,Denbigh High School,Denbighshire / Sir Ddinbych,GwE / GwE,Red/Coch,Denbigh High School,663.0,Denbighshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Ruthin Road,Denbigh,Denbighshire,,LL16 3EX,01745 812485,479.0
6634027,Ysgol Dinas Bran,Denbighshire / Sir Ddinbych,GwE / GwE,Amber/Oren,Ysgol Dinas Bran,663.0,Denbighshire,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Dinbren Road,Llangollen,Denbighshire,,LL20 8TG,01978 860669,1041.0
6634031,Ysgol Brynhyfryd,Denbighshire / Sir Ddinbych,GwE / GwE,Green/Gwyrdd,Ysgol Brynhyfryd,663.0,Denbighshire,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Mold Road,Ruthin,Denbighshire,,LL15 1EG,01824 703933,987.0
6635901,St Brigid's School,Denbighshire / Sir Ddinbych,GwE / GwE,Green/Gwyrdd,St Brigid's School,663.0,Denbighshire,Middle,Voluntary aided,EM,English medium,Middle (ages 3-19),Roman Catholic,Plas Yn Green,Mold Road,Denbigh,,LL16 4BH,01745 815228,478.0
6635902,Christ The Word,Denbighshire / Sir Ddinbych,GwE / GwE,Amber/Oren,Christ The Word Catholic School,663.0,Denbighshire,Middle,Voluntary aided,EM,English medium,Middle (ages 3-16),Roman Catholic,Cefndy Road,,,Rhyl,LL18 2EU,01745 343433,664.0
6644000,Hawarden High School,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,Hawarden High School,664.0,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,The Highway,Hawarden,Deeside,Flintshire,CH5 3DN,01244 526400,1100.0
6644006,Alun School,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,Alun School,664.0,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Wrexham Road,Mold,Flintshire,,CH7 1EP,01352 750755,1560.0
6644011,Elfed High School,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,Elfed High School,664.0,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Mill Lane,Buckley,Flintshire,,CH7 3HQ,01244 550217,874.0
6644012,Ysgol Treffynnon,Flintshire / Sir y Fflint,GwE / GwE,Amber/Oren,Ysgol Treffynnon,664.0,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,The Strand,Holywell,Flintshire,,CH8 7EN,01352 710011,480.0
6644013,St. David's High School,Flintshire / Sir y Fflint,GwE / GwE,Amber/Oren,St. David's High School,664.0,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,St David's Terrace,Saltney,Chester,Flintshire,CH4 0AE,01244 671583,346.0
6644017,Castell Alun High School,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd,Castell Alun High School,664.0,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Fagl Lane,Hope,Flintshire,,LL12 9PY,01978 760238,1344.0
6644018,Maes Garmon,Flintshire / Sir y Fflint,GwE / GwE,Amber/Oren,Ysgol Maes Garmon,664.0,Flintshire,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Stryd Conwy,Yr Wyddgrug,Sir Y Fflint,,CH7 1JB,01352 750678,529.0
6644021,Flint High School,Flintshire / Sir y Fflint,GwE / GwE,Amber/Oren,Flint High School,664.0,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Maes Hyfryd,Flintshire,,,CH6 5LL,01352 732268,839.0
6644022,"Connah's Quay High School,",Flintshire / Sir y Fflint,GwE / GwE,Amber/Oren,"Connah's Quay High School,",664.0,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Golftyn Lane,Connah's Quay,Flintshire,,CH5 4BH,01244 813491,1010.0
6644042,Argoed School,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,Argoed High School,664.0,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Bryn Road,Bryn Y Baal,Nr Mold,Flintshire,CH7 6RY,01352 756414,541.0
6644600,St. Richard Gwyn Catholic High School,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn,St. Richard Gwyn Catholic High School,664.0,Flintshire,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Albert Avenue,Flint,,,CH6 5JZ,01352 736900,773.0
6654029,Grango,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,Grango,665.0,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Vinegar Hill,Rhos,Wrexham,,LL14 1EL,01978 833010,535.0
6654032,YSGOL MORGAN LLWYD,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,Ysgol Morgan Llwyd,665.0,Wrexham,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Ffordd Cefn,Wrecsam,,,LL13 9NG,01978 315050,779.0
6654033,Ysgol Bryn Alyn,Wrexham / Wrecsam,GwE / GwE,Red/Coch,Ysgol Bryn Alyn,665.0,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Church Street,Gwersyllt,Wrexham,,LL11 4HB,01978 720700,697.0
6654034,Darland High School,Wrexham / Wrecsam,GwE / GwE,Amber/Oren,Darland High School,665.0,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Chester Road,Rossett,Wrexham,,LL12 0DL,01244 570588,832.0
6654044,Ysgol Rhiwabon,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn,Ysgol Rhiwabon,665.0,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Ruabon,Wrexham,,,LL14 6BT,01978 822392,439.0
6654048,Rhosnesni High School,Wrexham / Wrecsam,GwE / GwE,Red/Coch,Rhosnesni High School,665.0,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Rhosnesni Lane,Wrexham,,,LL13 9ET,01978 340840,808.0
6654049,Ysgol Clywedog,Wrexham / Wrecsam,GwE / GwE,Red/Coch,Ysgol Clywedog,665.0,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Ruthin Road,Wrexham,,,LL13 7UB,01978 346800,783.0
6654603,St Joseph's Catholic and Anglican High,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,St Joseph's Catholic And Anglican High,665.0,Wrexham,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-16),Roman Catholic & Anglican,Sontley Road,Wrexham,,,LL13 7EN,01978 360310,724.0
6655401,THE MAELOR SCHOOL,Wrexham / Wrecsam,GwE / GwE,Green/Gwyrdd,The Maelor School,665.0,Wrexham,Secondary,Foundation,EM,English medium,Secondary (ages 11-19),---,Penley,Wrexham,,,LL13 0LU,01948 830291,806.0
6664000,Ysgol Uwchradd Caereinion High School,Powys / Powys,ERW / ERW,Amber/Oren,Ysgol Uwchradd Caereinion High School,666.0,Powys,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Llanfair Caereinion,Welshpool,Powys,,SY21 0HW,01938 810888,439.0
6664001,Llanfyllin High School,Powys / Powys,ERW / ERW,Amber/Oren,,,,,,,,,,,,,,,,
6664002,LLANIDLOES HIGH SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,Llanidloes High School,666.0,Powys,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Llanidloes,Powys,,,SY18 6EX,01686 412289,595.0
6664011,Newtown High School,Powys / Powys,ERW / ERW,Red/Coch,Newtown High School,666.0,Powys,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Dolfor Road,Newtown,Powys,,SY16 1JE,01686 626304,1031.0
6664013,WELSHPOOL HIGH SCHOOL,Powys / Powys,ERW / ERW,Green/Gwyrdd,Welshpool High School,666.0,Powys,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Salop Road,Welshpool,Powys,,SY21 7RE,01938 552014,874.0
6664021,Ysgol Maesydderwen,Powys / Powys,ERW / ERW,Amber/Oren,Ysgol Maesydderwen,666.0,Powys,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Tudor Street,Ystradgynlais,Swansea,,SA9 1AP,01639 842115,497.0
6664022,BRECON HIGH SCHOOL,Powys / Powys,ERW / ERW,Red/Coch,Brecon High School,666.0,Powys,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Penlan,Brecon,Powys,,LD3 9SR,01874 622361,474.0
6664023,Gwernyfed High School,Powys / Powys,ERW / ERW,Green/Gwyrdd,Gwernyfed High School,666.0,Powys,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Three Cocks,Brecon,Powys,,LD3 0SG,01497 847445,495.0
6664024,Crickhowell High School,Powys / Powys,ERW / ERW,Green/Gwyrdd,Crickhowell High School,666.0,Powys,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,New Road,Crickhowell,Powys,,NP8 1AW,01873 813500,906.0
6664025,Ysgol Calon Cymru,Powys / Powys,ERW / ERW,Red/Coch,Ysgol Calon Cymru,666.0,Powys,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,College Road,,Builth Wells,Powys,LD2 3BW,01982 553292,1048.0
6665500,Ysgol Bro Hyddgen,Powys / Powys,ERW / ERW,Yellow/Melyn,Ysgol Bro Hyddgen,666.0,Powys,Middle,Community,AB,Bilingual (Type A),Middle (ages 4-19),---,Machynlleth,Powys,,,SY20 8DR,01654 702994,474.0
6674042,GYFUN ABERAERON COMPREHENSIVE,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,Gyfun Aberaeron Comprehensive,667.0,Ceredigion,Secondary,Community,CB,Bilingual (Type C),Secondary (ages 11-19),---,Stryd Y Fro,Aberaeron,Ceredigion,,SA46 0DT,01545 570217,599.0
6674044,Ysgol Uwchradd Aberteifi,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,Ysgol Uwchradd Aberteifi,667.0,Ceredigion,Secondary,Community,CB,Bilingual (Type C),Secondary (ages 11-19),---,Park Place,Aberteifi,Ceredigion,,SA43 1AD,01239 612670,616.0
6674047,Penglais School,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,Penglais School,667.0,Ceredigion,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Waunfawr,Aberystwyth,Ceredigion,,SY23 3AW,01970 624811,1087.0
6674048,YSGOL GYFUN PENWEDDIG,Ceredigion / Sir Ceredigion,ERW / ERW,Amber/Oren,Ysgol Gyfun Penweddig,667.0,Ceredigion,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Ffordd Llanbadarn,Llangawsai,Aberystwyth,,SY23 3QN,01970 639499,608.0
6675500,Ysgol Bro Pedr,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,Ysgol Bro Pedr,667.0,Ceredigion,Middle,Community,WM,Welsh medium,Middle (ages 3-19),---,Llanbedr Pont Steffan,Ceredigion,,,SA48 7BX,01570 422214,1032.0
6675501,Ysgol Henry Richard,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,Ysgol Henry Richard,667.0,Ceredigion,Middle,Community,BB,Bilingual (Type B),Middle (ages 3-16),---,Tregaron,Ceredigion,,,SY25 6HG,01974 298231,318.0
6675502,Ysgol Bro Teifi,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,Ysgol Bro Teifi,667.0,Ceredigion,Middle,Community,AB,Bilingual (Type A),Middle (ages 3-19),---,,LLANDYSUL,,,SA44 4JL,01559 362503,924.0
6684031,Ysgol Bro Gwaun,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,Ysgol Bro Gwaun,668.0,Pembrokeshire,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-16),---,Heol Dyfed,Fishguard,Pembrokeshire,,SA65 9DT,01348 872268,522.0
6684035,Ysgol Greenhill School,Pembrokeshire / Sir Benfro,ERW / ERW,Red/Coch,Ysgol Greenhill School,668.0,Pembrokeshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Heywood Lane,Tenby,Pembrokeshire,,SA70 8BN,01834 840100,835.0
6684038,Ysgol Harri Tudur / Henry Tudor School,Pembrokeshire / Sir Benfro,ERW / ERW,Amber/Oren,Henry Tudor School,668.0,Pembrokeshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Bush,Pembroke,Pembrokeshire,,SA71 4RL,01646 682461,1220.0
6684063,Milford Haven School,Pembrokeshire / Sir Benfro,ERW / ERW,Amber/Oren,Milford Haven School,668.0,Pembrokeshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Steynton Road,Milford Haven,Pembrokeshire,,SA73 1AE,01646 690021,982.0
6684064,Ysgol y Preseli,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,Ysgol y Preseli,668.0,Pembrokeshire,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Crymych,Preseli,Sir Benfro,,SA41 3QH,01239 831406,782.0
6684512,Haverfordwest High VC School,Pembrokeshire / Sir Benfro,ERW / ERW,Amber/Oren,Haverfordwest High VC School,668.0,Pembrokeshire,Secondary,Voluntary controlled,EM,English medium,Secondary (ages 11-19),---,Off Portfield Avenue,,,Haverfordwest,SA61 1EQ,01437 764147,1620.0
6685500,Ysgol Caer Elen,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,Ysgol Caer Elen,668.0,Pembrokeshire,Middle,Community,WM,Welsh medium,Middle (ages 3-16),---,Withybush Road,,,Haverfordwest,SA62 4BN,01437 808470,540.0
6685900,Ysgol Penrhyn Dewi,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,Ysgol yr Eglwys yng Nghymru Penrhyn Dewi,668.0,Pembrokeshire,Middle,Voluntary aided,EM,English medium,Middle (ages 3-16),Church in Wales,St. Davids ,,,Haverfordwest,SA62 6QH,01437 725000,565.0
6694029,Ysgol Dyffryn Aman,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,Ysgol Dyffryn Aman,669.0,Carmarthenshire,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Margaret Street,Ammanford,Carmarthenshire,,SA18 2NW,01269 592441,1403.0
6694050,Coedcae School,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,Coedcae School,669.0,Carmarthenshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Trostre Road,Llanelli,Carmarthenshire,,SA15 1LJ,01554 750574,856.0
6694052,Ysgol Gyfun Y Strade,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,Ysgol Gyfun Y Strade,669.0,Carmarthenshire,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Heol Sandy,Llanelli,Carmarthenshire,,SA15 4DL,01554 745100,1177.0
6694053,Glan-y-Mor School,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,Glan-y-Mor School,669.0,Carmarthenshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Heol Elfed,Burry Port,Carmarthenshire,,SA16 0AL,01554 832507,533.0
6694054,Bryngwyn School,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,Bryngwyn School,669.0,Carmarthenshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Dafen,Llanelli,Carmarthenshire,,SA14 8RP,01554 750661,1021.0
6694056,Ysgol Gyfun Gymraeg Bro Myrddin,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,Ysgol Gyfun Gymraeg Bro Myrddin,669.0,Carmarthenshire,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Croesyceiliog,Caerfyrddin,Sir Gaerfyrddin,,SA32 8DN,01267 234829,914.0
6694060,Ysgol Gyfun Emlyn,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,Ysgol Gyfun Emlyn,669.0,Carmarthenshire,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Newcastle Emlyn,,Carmarthenshire,,SA38 9LN,01239 710447,445.0
6694063,Queen Elizabeth High School,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,Queen Elizabeth High School,669.0,Carmarthenshire,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Llansteffan Road,Johnstown,Carmarthen,Carmarthenshire,SA31 3NL,01267 245300,1350.0
6694064,Ysgol Maes Y Gwendraeth,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,Ysgol Maes y Gwendraeth,669.0,Carmarthenshire,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Cefneithin Campus,74 Parc Y Heol,Cefneithin,Llanelli,SA14 7DT,01269 833900,1011.0
6694065,Ysgol Bro Dinefwr,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,Ysgol Bro Dinefwr,669.0,Carmarthenshire,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Ffairfach,Llandeilo,Carmarthenshire,,SA19 6PE,01558 824800,1187.0
6694512,Dyffryn Taf,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,Dyffryn Taf,669.0,Carmarthenshire,Secondary,Voluntary controlled,EM,English medium,Secondary (ages 11-19),---,North Road,Whitland,Carmarthenshire,,SA34 0BD,01994 242100,917.0
6694600,St John Lloyd Catholic Comprehensive School,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,St John Lloyd Catholic Comprehensive School,669.0,Carmarthenshire,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-16),Roman Catholic,Havard Road,Llanelli,Carmarthenshire,,SA14 8SD,01554 772589,509.0
6704031,Cefn Hengoed,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,Cefn Hengoed,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Caldicot Road,Winch Wen,Swansea,,SA1 7HX,01792 773464,850.0
6704032,OLCHFA SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,Olchfa School,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Gower Road,Sketty,Swansea,,SA2 7AB,01792 534300,1764.0
6704033,MORRISTON COMPREHENSIVE,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,Morriston Comprehensive,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Heol Maes Eglwys,Morriston,Swansea,,SA6 6NH,01792 797745,977.0
6704043,PENTREHAFOD SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,Pentrehafod School,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Pentremawr Road,Hafod,Swansea,,SA1 2NN,01792 410400,1022.0
